Running on cuda:0
[2018-09-22 16:38] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 3609.43, Accuracy = 0.12, Loss = 7.616
[2018-09-22 16:38] Train Step 0010/10000, Batch Size = 128, Examples/Sec = 5125.70, Accuracy = 0.18, Loss = 4.363
[2018-09-22 16:38] Train Step 0020/10000, Batch Size = 128, Examples/Sec = 5665.94, Accuracy = 0.15, Loss = 3.545
[2018-09-22 16:38] Train Step 0030/10000, Batch Size = 128, Examples/Sec = 6087.66, Accuracy = 0.16, Loss = 3.077
[2018-09-22 16:38] Train Step 0040/10000, Batch Size = 128, Examples/Sec = 5227.06, Accuracy = 0.20, Loss = 3.012
[2018-09-22 16:38] Train Step 0050/10000, Batch Size = 128, Examples/Sec = 5223.90, Accuracy = 0.27, Loss = 2.783
[2018-09-22 16:38] Train Step 0060/10000, Batch Size = 128, Examples/Sec = 5253.50, Accuracy = 0.32, Loss = 2.507
[2018-09-22 16:38] Train Step 0070/10000, Batch Size = 128, Examples/Sec = 5326.95, Accuracy = 0.36, Loss = 2.189
[2018-09-22 16:38] Train Step 0080/10000, Batch Size = 128, Examples/Sec = 5047.15, Accuracy = 0.33, Loss = 2.208
[2018-09-22 16:38] Train Step 0090/10000, Batch Size = 128, Examples/Sec = 5150.48, Accuracy = 0.30, Loss = 2.326
[2018-09-22 16:38] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 5156.57, Accuracy = 0.30, Loss = 2.087
[2018-09-22 16:38] Train Step 0110/10000, Batch Size = 128, Examples/Sec = 5120.47, Accuracy = 0.38, Loss = 2.056
[2018-09-22 16:38] Train Step 0120/10000, Batch Size = 128, Examples/Sec = 5174.41, Accuracy = 0.40, Loss = 1.953
[2018-09-22 16:38] Train Step 0130/10000, Batch Size = 128, Examples/Sec = 5511.51, Accuracy = 0.45, Loss = 1.923
[2018-09-22 16:38] Train Step 0140/10000, Batch Size = 128, Examples/Sec = 5219.59, Accuracy = 0.41, Loss = 1.658
[2018-09-22 16:38] Train Step 0150/10000, Batch Size = 128, Examples/Sec = 5146.14, Accuracy = 0.40, Loss = 1.707
[2018-09-22 16:38] Train Step 0160/10000, Batch Size = 128, Examples/Sec = 5272.75, Accuracy = 0.38, Loss = 1.756
[2018-09-22 16:38] Train Step 0170/10000, Batch Size = 128, Examples/Sec = 5158.85, Accuracy = 0.50, Loss = 1.549
[2018-09-22 16:38] Train Step 0180/10000, Batch Size = 128, Examples/Sec = 5144.41, Accuracy = 0.48, Loss = 1.495
