Running on cuda:0
[2018-09-23 01:03] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 4024.13, Accuracy = 0.03, Loss = 7.153
[2018-09-23 01:03] Train Step 0010/10000, Batch Size = 128, Examples/Sec = 5944.76, Accuracy = 0.43, Loss = 2.602
[2018-09-23 01:03] Train Step 0020/10000, Batch Size = 128, Examples/Sec = 5924.42, Accuracy = 0.62, Loss = 1.459
[2018-09-23 01:03] Train Step 0030/10000, Batch Size = 128, Examples/Sec = 5623.45, Accuracy = 0.70, Loss = 0.802
[2018-09-23 01:03] Train Step 0040/10000, Batch Size = 128, Examples/Sec = 6065.38, Accuracy = 0.66, Loss = 0.873
[2018-09-23 01:03] Train Step 0050/10000, Batch Size = 128, Examples/Sec = 5905.78, Accuracy = 0.69, Loss = 0.795
[2018-09-23 01:03] Train Step 0060/10000, Batch Size = 128, Examples/Sec = 5747.77, Accuracy = 0.77, Loss = 0.590
[2018-09-23 01:03] Train Step 0070/10000, Batch Size = 128, Examples/Sec = 5966.96, Accuracy = 0.65, Loss = 1.012
[2018-09-23 01:03] Train Step 0080/10000, Batch Size = 128, Examples/Sec = 5923.24, Accuracy = 0.84, Loss = 0.455
[2018-09-23 01:03] Train Step 0090/10000, Batch Size = 128, Examples/Sec = 5767.53, Accuracy = 0.94, Loss = 0.249
[2018-09-23 01:03] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 6065.58, Accuracy = 0.80, Loss = 0.439
[2018-09-23 01:03] Train Step 0110/10000, Batch Size = 128, Examples/Sec = 5576.84, Accuracy = 0.81, Loss = 0.389
[2018-09-23 01:03] Train Step 0120/10000, Batch Size = 128, Examples/Sec = 6047.41, Accuracy = 0.85, Loss = 0.368
[2018-09-23 01:03] Train Step 0130/10000, Batch Size = 128, Examples/Sec = 5885.90, Accuracy = 0.88, Loss = 0.308
[2018-09-23 01:03] Train Step 0140/10000, Batch Size = 128, Examples/Sec = 5803.70, Accuracy = 0.95, Loss = 0.143
[2018-09-23 01:03] Train Step 0150/10000, Batch Size = 128, Examples/Sec = 6047.82, Accuracy = 0.75, Loss = 0.442
[2018-09-23 01:03] Train Step 0160/10000, Batch Size = 128, Examples/Sec = 5482.97, Accuracy = 0.71, Loss = 0.514
[2018-09-23 01:03] Train Step 0170/10000, Batch Size = 128, Examples/Sec = 6370.84, Accuracy = 0.96, Loss = 0.122
