Initialize dataset with 23013 characters, 56 unique.
Epoch 0 [2018-09-28 12:22] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 545.62, Accuracy = 0.02, Loss = 4.039
Evaluating: 
Epoch 0 [2018-09-28 12:22] Train Step 0010/1000000, Batch Size = 64, Examples/Sec = 4840.86, Accuracy = 0.15, Loss = 3.065
Epoch 0 [2018-09-28 12:22] Train Step 0020/1000000, Batch Size = 64, Examples/Sec = 6537.48, Accuracy = 0.14, Loss = 3.023
Epoch 0 [2018-09-28 12:22] Train Step 0030/1000000, Batch Size = 64, Examples/Sec = 4686.70, Accuracy = 0.18, Loss = 2.921
Epoch 0 [2018-09-28 12:22] Train Step 0040/1000000, Batch Size = 64, Examples/Sec = 797.79, Accuracy = 0.19, Loss = 2.815
Epoch 0 [2018-09-28 12:22] Train Step 0050/1000000, Batch Size = 64, Examples/Sec = 763.55, Accuracy = 0.21, Loss = 2.741
Epoch 0 [2018-09-28 12:22] Train Step 0060/1000000, Batch Size = 64, Examples/Sec = 5329.06, Accuracy = 0.28, Loss = 2.554
Epoch 0 [2018-09-28 12:22] Train Step 0070/1000000, Batch Size = 64, Examples/Sec = 757.60, Accuracy = 0.31, Loss = 2.427
Epoch 0 [2018-09-28 12:22] Train Step 0080/1000000, Batch Size = 64, Examples/Sec = 5008.59, Accuracy = 0.32, Loss = 2.372
Epoch 0 [2018-09-28 12:22] Train Step 0090/1000000, Batch Size = 64, Examples/Sec = 757.49, Accuracy = 0.33, Loss = 2.316
Epoch 0 [2018-09-28 12:22] Train Step 0100/1000000, Batch Size = 64, Examples/Sec = 4741.84, Accuracy = 0.36, Loss = 2.215
Epoch 0 [2018-09-28 12:22] Train Step 0110/1000000, Batch Size = 64, Examples/Sec = 759.76, Accuracy = 0.38, Loss = 2.169
Epoch 0 [2018-09-28 12:22] Train Step 0120/1000000, Batch Size = 64, Examples/Sec = 5022.93, Accuracy = 0.38, Loss = 2.118
Epoch 0 [2018-09-28 12:22] Train Step 0130/1000000, Batch Size = 64, Examples/Sec = 755.21, Accuracy = 0.39, Loss = 2.116
Epoch 0 [2018-09-28 12:22] Train Step 0140/1000000, Batch Size = 64, Examples/Sec = 6611.39, Accuracy = 0.40, Loss = 2.061
Epoch 0 [2018-09-28 12:22] Train Step 0150/1000000, Batch Size = 64, Examples/Sec = 6616.44, Accuracy = 0.40, Loss = 2.082
Epoch 0 [2018-09-28 12:22] Train Step 0160/1000000, Batch Size = 64, Examples/Sec = 5281.56, Accuracy = 0.42, Loss = 1.977
Epoch 0 [2018-09-28 12:22] Train Step 0170/1000000, Batch Size = 64, Examples/Sec = 758.31, Accuracy = 0.40, Loss = 2.030
Epoch 0 [2018-09-28 12:22] Train Step 0180/1000000, Batch Size = 64, Examples/Sec = 778.74, Accuracy = 0.39, Loss = 2.056
Epoch 0 [2018-09-28 12:22] Train Step 0190/1000000, Batch Size = 64, Examples/Sec = 744.48, Accuracy = 0.42, Loss = 1.982
Epoch 0 [2018-09-28 12:22] Train Step 0200/1000000, Batch Size = 64, Examples/Sec = 722.19, Accuracy = 0.46, Loss = 1.897
Evaluating: 
Epoch 0 [2018-09-28 12:22] Train Step 0210/1000000, Batch Size = 64, Examples/Sec = 5230.42, Accuracy = 0.45, Loss = 1.892
Epoch 0 [2018-09-28 12:22] Train Step 0220/1000000, Batch Size = 64, Examples/Sec = 6491.32, Accuracy = 0.45, Loss = 1.843
Epoch 0 [2018-09-28 12:22] Train Step 0230/1000000, Batch Size = 64, Examples/Sec = 6480.82, Accuracy = 0.42, Loss = 1.934
Epoch 0 [2018-09-28 12:22] Train Step 0240/1000000, Batch Size = 64, Examples/Sec = 6515.27, Accuracy = 0.43, Loss = 1.914
Epoch 0 [2018-09-28 12:22] Train Step 0250/1000000, Batch Size = 64, Examples/Sec = 6585.92, Accuracy = 0.47, Loss = 1.833
Epoch 0 [2018-09-28 12:22] Train Step 0260/1000000, Batch Size = 64, Examples/Sec = 6517.32, Accuracy = 0.44, Loss = 1.871
Epoch 0 [2018-09-28 12:22] Train Step 0270/1000000, Batch Size = 64, Examples/Sec = 6565.94, Accuracy = 0.45, Loss = 1.822
Epoch 0 [2018-09-28 12:22] Train Step 0280/1000000, Batch Size = 64, Examples/Sec = 6056.07, Accuracy = 0.47, Loss = 1.817
Epoch 0 [2018-09-28 12:22] Train Step 0290/1000000, Batch Size = 64, Examples/Sec = 6493.04, Accuracy = 0.46, Loss = 1.829
Epoch 0 [2018-09-28 12:22] Train Step 0300/1000000, Batch Size = 64, Examples/Sec = 6024.68, Accuracy = 0.47, Loss = 1.774
Epoch 0 [2018-09-28 12:22] Train Step 0310/1000000, Batch Size = 64, Examples/Sec = 6454.48, Accuracy = 0.48, Loss = 1.741
Epoch 0 [2018-09-28 12:22] Train Step 0320/1000000, Batch Size = 64, Examples/Sec = 798.92, Accuracy = 0.47, Loss = 1.765
Epoch 0 [2018-09-28 12:22] Train Step 0330/1000000, Batch Size = 64, Examples/Sec = 755.30, Accuracy = 0.47, Loss = 1.803
Epoch 0 [2018-09-28 12:22] Train Step 0340/1000000, Batch Size = 64, Examples/Sec = 4688.34, Accuracy = 0.51, Loss = 1.680
Epoch 0 [2018-09-28 12:22] Train Step 0350/1000000, Batch Size = 64, Examples/Sec = 5116.27, Accuracy = 0.51, Loss = 1.657
Epoch 1 [2018-09-28 12:22] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 802.22, Accuracy = 0.50, Loss = 1.683
Evaluating: 
Epoch 1 [2018-09-28 12:22] Train Step 0010/1000000, Batch Size = 64, Examples/Sec = 2453.41, Accuracy = 0.50, Loss = 1.658
Epoch 1 [2018-09-28 12:22] Train Step 0020/1000000, Batch Size = 64, Examples/Sec = 5807.53, Accuracy = 0.51, Loss = 1.599
Epoch 1 [2018-09-28 12:22] Train Step 0030/1000000, Batch Size = 64, Examples/Sec = 5788.99, Accuracy = 0.53, Loss = 1.573
Epoch 1 [2018-09-28 12:22] Train Step 0040/1000000, Batch Size = 64, Examples/Sec = 6452.15, Accuracy = 0.51, Loss = 1.637
Epoch 1 [2018-09-28 12:22] Train Step 0050/1000000, Batch Size = 64, Examples/Sec = 5748.45, Accuracy = 0.50, Loss = 1.683
Epoch 1 [2018-09-28 12:22] Train Step 0060/1000000, Batch Size = 64, Examples/Sec = 4907.95, Accuracy = 0.51, Loss = 1.624
Epoch 1 [2018-09-28 12:22] Train Step 0070/1000000, Batch Size = 64, Examples/Sec = 789.65, Accuracy = 0.54, Loss = 1.565
Epoch 1 [2018-09-28 12:22] Train Step 0080/1000000, Batch Size = 64, Examples/Sec = 4996.01, Accuracy = 0.51, Loss = 1.634
Epoch 1 [2018-09-28 12:22] Train Step 0090/1000000, Batch Size = 64, Examples/Sec = 6433.14, Accuracy = 0.52, Loss = 1.589
Epoch 1 [2018-09-28 12:22] Train Step 0100/1000000, Batch Size = 64, Examples/Sec = 6468.01, Accuracy = 0.53, Loss = 1.580
